,Learners,Mean Squared
0,50,41723724
1,51,35226916
2,52,50074828
3,53,37713924
4,54,35846876
5,55,41090644
6,56,37891784
7,57,41141460
8,58,37787976
9,59,31678364
10,60,27858154
11,61,24153828
12,62,31278414
13,63,33595992
14,64,32728738
15,65,29984558
16,66,30353518
17,67,26784164
18,68,37062600
19,69,25705322
20,70,19787506
21,71,20974434
22,72,29268916
23,73,20388880
24,74,27064940
25,75,25488470
26,76,15212726
27,77,21886964
28,78,16119814
29,79,18115698
30,80,32939124
31,81,21368544
32,82,21936318
33,83,25642042
34,84,23428756
35,85,19813388
36,86,15445926
37,87,22768740
38,88,14593777
39,89,18958302
40,90,21294096
41,91,20240246
42,92,20429354
43,93,20154634
44,94,15905286
45,95,16936810
46,96,10547448
47,97,18402000
48,98,11443337
49,99,16648779
50,100,13683363
51,101,18300440
52,102,14599080
53,103,16608870
54,104,16008333
55,105,18446962
56,106,14151840
57,107,12167288
58,108,14665847
59,109,10052750
60,110,11655975
61,111,10902919
62,112,12512712
63,113,14060163
64,114,8011050.5
65,115,14779008
66,116,15533981
67,117,11181702
68,118,15093410
69,119,14737161
70,120,14559160
71,121,7598956.5
72,122,11240120
73,123,14094615
74,124,12455680
75,125,13120518
76,126,10440317
77,127,16720064
78,128,12823245
79,129,12383065
80,130,8662653
81,131,13369182
82,132,14094594
83,133,11049617
84,134,9279471
85,135,10172535
86,136,10903251
87,137,10436152
88,138,13156783
89,139,10640673
90,140,9289563
91,141,11686846
92,142,10894329
93,143,7798201.5
94,144,11028743
95,145,13883327
96,146,12115710
97,147,11827696
98,148,11315267
99,149,13613511
100,150,11289025
