,Learners,Round Two
0,50,-4510979.5
1,51,-5308436.0
2,52,-4531176.0
3,53,-5868719.0
4,54,-3120770.5
5,55,-4130612.75
6,56,-8890446.0
7,57,-6096205.5
8,58,-10065503.0
9,59,-3620054.25
10,60,-3018866.0
11,61,-4024989.5
12,62,-2627900.0
13,63,-8718885.0
14,64,-8901616.0
15,65,-4183894.75
16,66,-5393391.5
17,67,-6055862.5
18,68,-14395006.0
19,69,-3659974.75
20,70,-2830953.25
21,71,-5881617.0
22,72,-6535170.5
23,73,-5180063.0
24,74,-2977885.5
25,75,-2058626.25
26,76,-1790473.25
27,77,-3194987.75
28,78,-2322370.5
29,79,-2018049.125
30,80,-2650838.0
31,81,-6156612.5
32,82,-2325948.75
33,83,-2770743.5
34,84,-2645324.0
35,85,-1659933.0
36,86,-1751188.875
37,87,-2402840.5
38,88,-1652091.875
39,89,-2063618.125
40,90,-6396074.5
41,91,-1483524.75
42,92,-3131829.5
43,93,-2371886.25
44,94,-1999290.25
45,95,-1874077.25
46,96,-1627522.375
47,97,-1407185.625
48,98,-2215622.75
49,99,-2773007.25
50,100,-3798024.25
51,101,-3675802.5
52,102,-3999717.5
53,103,-1422847.0
54,104,-3570478.75
55,105,-2259770.5
56,106,-1615287.75
57,107,-4029518.75
58,108,-1882350.625
59,109,-951643.875
60,110,-1506000.0
61,111,-1977204.25
62,112,-1297248.625
63,113,-2849998.0
64,114,-971033.9375
65,115,-1579285.25
66,116,-1870538.375
67,117,-1717754.0
68,118,-1514686.0
69,119,-1052424.125
70,120,-4739032.5
71,121,-937779.9375
72,122,-969645.9375
73,123,-1076084.125
74,124,-1154385.125
75,125,-3284131.25
76,126,-3285140.0
77,127,-1569267.625
78,128,-1817143.375
79,129,-936531.0625
80,130,-1391582.75
81,131,-1117341.375
82,132,-1779256.25
83,133,-1036129.375
84,134,-1362233.25
85,135,-1473498.875
86,136,-830054.6875
87,137,-3395829.25
88,138,-1067063.375
89,139,-864172.375
90,140,-1254298.75
91,141,-984141.0625
92,142,-1944156.375
93,143,-2747815.75
94,144,-2465904.75
95,145,-1166507.125
96,146,-1225882.375
97,147,-2256622.75
98,148,-1127969.375
99,149,-2419790.75
100,150,-1383047.75
